claim,evidence,id,label,verifiable
Sarah Hyland is American.,"[[[67133, 77928, 'Sarah_Hyland', 0]]]",50789,SUPPORTS,VERIFIABLE
Ian Gillan is only a producer.,"[[[172460, 185762, 'Ian_Gillan', 0]], [[172460, 185763, 'Ian_Gillan', 1]], [[172460, 185764, 'Ian_Gillan', 9]], [[172464, 185771, 'Ian_Gillan', 0]]]",148798,REFUTES,VERIFIABLE
Less than half of the population counted as Romani people in the Republic of Macedonia.,"[[[160601, 175105, 'Romani_people_in_the_Republic_of_Macedonia', 0]], [[160601, 175106, 'Romani_people_in_the_Republic_of_Macedonia', 2]], [[160601, 175107, 'Romani_people_in_the_Republic_of_Macedonia', 5]], [[162299, 176605, 'Romani_people_in_the_Republic_of_Macedonia', 0]], [[162299, 176606, 'Romani_people_in_the_Republic_of_Macedonia', 5]], [[312168, 302022, 'Romani_people_in_the_Republic_of_Macedonia', 0]], [[313377, 303007, 'Romani_people_in_the_Republic_of_Macedonia', 0]]]",51777,SUPPORTS,VERIFIABLE
Mount Hood belongs to the Pacific Northwest.,"[[[52256, 62219, 'Mount_Hood', 1]]]",34357,SUPPORTS,VERIFIABLE
No Strings Attached was released on May 21.,"[[[185684, 197420, 'No_Strings_Attached_-LRB-film-RRB-', 2]]]",161151,REFUTES,VERIFIABLE
The Chaperone (film) was directed by Steven Spielberg.,"[[[238906, 240880, 'The_Chaperone_-LRB-film-RRB-', 0]]]",202729,REFUTES,VERIFIABLE
Simon Pegg is English.,"[[[106547, 119960, 'Simon_Pegg', 0]]]",89322,SUPPORTS,VERIFIABLE
The SpongeBob SquarePants Movie is only a TV show.,"[[[74683, 85907, 'The_SpongeBob_SquarePants_Movie', 0]], [[74683, 85908, 'The_SpongeBob_SquarePants_Movie', 1]], [[74683, 85909, 'The_SpongeBob_SquarePants_Movie', 3]]]",58317,REFUTES,VERIFIABLE
A. P. J. Abdul Kalam was not supported by the Bharatiya Janata Party.,"[[[174378, 187603, 'A._P._J._Abdul_Kalam', 7]]]",150565,REFUTES,VERIFIABLE
The cinematography of Far from the Madding Crowd was only by a Portuguese cinematographer.,"[[[212921, 220317, 'Far_from_the_Madding_Crowd_-LRB-1967_film-RRB-', 3], [212921, 220317, 'Nicolas_Roeg', 0]]]",182931,REFUTES,VERIFIABLE
John DiMaggio has done drugs.,"[[[159301, None, None, None]]]",136638,NOT ENOUGH INFO,NOT VERIFIABLE
Aubrey Anderson-Emmons is a child singer.,"[[[96377, None, None, None]]]",79404,NOT ENOUGH INFO,NOT VERIFIABLE
Alan White was an Ambassador to Cambodia.,"[[[222840, None, None, None]]]",190653,NOT ENOUGH INFO,NOT VERIFIABLE
Java is the fifth largest island in Indonesia.,"[[[87757, 100268, 'Java', 9]]]",71099,SUPPORTS,VERIFIABLE
Donald Duck typically wears a baseball cap.,"[[[129478, 144223, 'Donald_Duck', 2]]]",110357,REFUTES,VERIFIABLE
Alcoholic drink is one of the most widely used recreational drugs on the planet.,"[[[68350, 79221, 'Alcoholic_drink', 12]]]",52040,SUPPORTS,VERIFIABLE
"Ed Gein's hometown is Milwaukee, Wisconsin.","[[[273145, 268706, 'Ed_Gein', 1]], [[273981, 269298, 'Ed_Gein', 1]], [[273982, 269299, 'Ed_Gein', 1]], [[273983, 269300, 'Ed_Gein', 1]], [[273988, 269301, 'Ed_Gein', 1]]]",85175,REFUTES,VERIFIABLE
The New England Patriots failed to reach seven Super Bowls.,"[[[128143, 142861, 'New_England_Patriots', 12]], [[128143, 142862, 'New_England_Patriots', 15]]]",109246,REFUTES,VERIFIABLE
Fraud is accidental deception.,"[[[153556, 168382, 'Fraud', 0]]]",131268,REFUTES,VERIFIABLE
The current Duke of York has been unmarried since his June 1996 divorce.,"[[[21712, 26678, 'Duke_of_York', 11], [21712, 26678, 'Duke_of_York', 12]]]",5324,SUPPORTS,VERIFIABLE
Jerry Bruckheimer directed the 1998 American action drama The Man in the Iron Mask.,"[[[202379, 211660, 'The_Man_in_the_Iron_Mask_-LRB-1998_film-RRB-', 0]]]",174991,REFUTES,VERIFIABLE
Northwestern University is the only private university of the Big Ten Conference.,"[[[199390, 209081, 'Northwestern_University', 19]]]",172701,SUPPORTS,VERIFIABLE
Spikes induce neuromodulation.,"[[[114770, None, None, None]]]",97173,NOT ENOUGH INFO,NOT VERIFIABLE
The Fame has sold over 4.5 million copies.,"[[[20010, 24567, 'The_Fame', 13]], [[20010, 24568, 'The_Fame', 14]]]",3794,SUPPORTS,VERIFIABLE
China is a major country with high economic growth.,"[[[166980, 180804, 'China', 15]]]",143847,SUPPORTS,VERIFIABLE
There was a 1994 parade that took place in Rwanda.,"[[[242563, None, None, None]]]",205290,NOT ENOUGH INFO,NOT VERIFIABLE
Estelle Getty was an Indian.,"[[[213569, 220790, 'Estelle_Getty', 0]]]",183487,REFUTES,VERIFIABLE
The Chaperone (film) was filmed in front of a live audience.,"[[[238928, None, None, None], [238929, None, None, None], [238930, None, None, None]]]",202741,NOT ENOUGH INFO,NOT VERIFIABLE
Chris Paul is a two-time Olympic gold winner.,"[[[28320, 34636, 'Chris_Paul', 1]]]",13085,SUPPORTS,VERIFIABLE
Lucy Hale is from the United States.,"[[[160205, 174741, 'Lucy_Hale', 0]]]",137453,SUPPORTS,VERIFIABLE
Scream 2 was written by a man.,"[[[198888, 208586, 'Scream_2', 0], [198888, 208586, 'Kevin_Williamson_-LRB-screenwriter-RRB-', 0], [198888, 208586, 'Kevin_Williamson_-LRB-screenwriter-RRB-', 2]]]",172326,SUPPORTS,VERIFIABLE
B. R. Ambedkar was a politician.,"[[[87503, 99973, 'B._R._Ambedkar', 0]]]",70840,SUPPORTS,VERIFIABLE
Chris Bosh attended college in Miami.,"[[[141145, 156352, 'Chris_Bosh', 1], [141145, 156352, 'Georgia_Institute_of_Technology', 0]]]",120133,REFUTES,VERIFIABLE
Clueless (film) was followed by a spin-off television sitcom.,"[[[16506, 20443, 'Clueless_-LRB-film-RRB-', 7]]]",963,SUPPORTS,VERIFIABLE
Mandy Moore is a musician.,"[[[24174, 29898, 'Mandy_Moore', 0]], [[24174, 29899, 'Mandy_Moore', 1], [24174, 29899, 'Candy_-LRB-Mandy_Moore_song-RRB-', 0]], [[24174, 29900, 'Mandy_Moore', 2], [24174, 29900, 'So_Real_-LRB-album-RRB-', 0]], [[24174, 29901, 'Mandy_Moore', 11]]]",7794,SUPPORTS,VERIFIABLE
The latest ceremony of the Logie Awards was at a funeral house.,"[[[216619, None, None, None]]]",185773,NOT ENOUGH INFO,NOT VERIFIABLE
Vincent D'Onofrio is not a Saturn Award winner.,"[[[151023, 165848, ""Vincent_D'Onofrio"", 4]]]",128967,REFUTES,VERIFIABLE
Antigua and Barbuda was named in honor of Christopher Columbus.,"[[[105604, 119053, 'Antigua_and_Barbuda', 6]]]",88385,REFUTES,VERIFIABLE
Freddie Highmore never starred in the television series Bates Motel.,"[[[107653, 121147, 'Freddie_Highmore', 5]]]",90355,REFUTES,VERIFIABLE
The Boeing 767 is a rifle.,"[[[194658, 205044, 'Boeing_767', 0]]]",168935,REFUTES,VERIFIABLE
Hannah and Her Sisters is a 1997 film.,"[[[136966, 151792, 'Hannah_and_Her_Sisters', 0]], [[136966, 151793, 'Hannah_and_Her_Sisters', 4]]]",116565,REFUTES,VERIFIABLE
A Backing vocalist's responsibility includes singing with the other backing vocalists.,"[[[228915, None, None, None]]]",195123,NOT ENOUGH INFO,NOT VERIFIABLE
"In Kentucky, the electric chair has been retired except for those whose capital crimes were committed prior to March 31, 1998, and who choose electrocution.","[[[62133, 72674, 'Electric_chair', 15]], [[64474, 75256, 'Electric_chair', 15]], [[66288, 77115, 'Electric_chair', 15]], [[303494, 294458, 'Electric_chair', 15]], [[305349, 296184, 'Electric_chair', 15]], [[305356, 296190, 'Electric_chair', 15]]]",22725,SUPPORTS,VERIFIABLE
Levoamphetamine increases wakefulness.,"[[[184517, 196400, 'Levoamphetamine', 0]]]",160060,SUPPORTS,VERIFIABLE
Caesar is an adaptation of a play by William Shakespeare.,"[[[182456, 194692, 'Caesar_-LRB-Mercury_Theatre-RRB-', 0]]]",158190,SUPPORTS,VERIFIABLE
Bala has received zero recognition for his work.,"[[[226613, 231146, 'Bala_-LRB-director-RRB-', 2]]]",193532,REFUTES,VERIFIABLE
Dark matter is a hypothetical type of substance that has mass and takes up space.,"[[[20543, None, None, None]]]",4210,NOT ENOUGH INFO,NOT VERIFIABLE
Hutu extremists were involved in the 1995 Rwanda genocide in Rwanda.,"[[[242554, None, None, None]]]",205276,NOT ENOUGH INFO,NOT VERIFIABLE
Death Note was based on a manga series illustrated by Takeshi Obata.,"[[[202958, None, None, None]]]",175442,NOT ENOUGH INFO,NOT VERIFIABLE
Bala's has directed at least four feature albums.,"[[[226632, None, None, None]]]",193548,NOT ENOUGH INFO,NOT VERIFIABLE
Uta Hagan graduated from college in America.,"[[[244102, None, None, None], [244105, None, None, None]]]",206451,NOT ENOUGH INFO,NOT VERIFIABLE
"Celebrity Rehab with Dr. Drew was set in Pasadena, California at the Pasadena Civic Center.","[[[267016, 263825, 'Celebrity_Rehab_with_Dr._Drew', 0]]]",224136,REFUTES,VERIFIABLE
Doxycycline may cause blue to change color.,"[[[161192, None, None, None], [165770, None, None, None], [312177, None, None, None], [313418, None, None, None]]]",52342,NOT ENOUGH INFO,NOT VERIFIABLE
The University of Leicester only discovered and identified the remains of a queen.,"[[[232370, 235585, 'University_of_Leicester', 11]]]",197661,REFUTES,VERIFIABLE
Cleopatre premiered in a manner.,"[[[23073, 28419, 'Cléopâtre', 1], [23073, 28419, 'Opéra_de_Monte-Carlo', 0]]]",10689,REFUTES,VERIFIABLE
See You on the Other Side was certified platinum in March 2016.,"[[[49673, 59103, 'See_You_on_the_Other_Side_-LRB-Korn_album-RRB-', 3]]]",33574,REFUTES,VERIFIABLE
Color of Night won something.,"[[[77604, 89055, 'Color_of_Night', 8]]]",61089,SUPPORTS,VERIFIABLE
You Only Live Twice was directed by a German man.,"[[[215777, 222558, 'You_Only_Live_Twice_-LRB-film-RRB-', 12], [215777, 222558, 'Lewis_Gilbert', 0]]]",185173,REFUTES,VERIFIABLE
Jab Tak Hai Jaan was praised for its directing.,"[[[257879, 256819, 'Jab_Tak_Hai_Jaan', 14]]]",217018,SUPPORTS,VERIFIABLE
Cthulhu is cosmic.,"[[[17504, 21659, 'Cthulhu', 0]]]",1748,SUPPORTS,VERIFIABLE
Prague's historic center was first included in the UNESCO list of World Heritage Sites in the 1990s.,"[[[77794, 89240, 'Prague', 16]]]",61302,SUPPORTS,VERIFIABLE
Johnny Van Zant named a solo album called George R.R. Martin.,"[[[76995, None, None, None]]]",60549,NOT ENOUGH INFO,NOT VERIFIABLE
Scream 2 was written exclusively by Barack Obama.,"[[[198893, None, None, None]]]",172330,NOT ENOUGH INFO,NOT VERIFIABLE
Ned Stark was named for a prize.,"[[[128469, None, None, None]]]",109509,NOT ENOUGH INFO,NOT VERIFIABLE
The Blue Dog Coalition is made up of politicians.,"[[[17299, 21408, 'Blue_Dog_Coalition', 0]]]",1577,SUPPORTS,VERIFIABLE
"Uta Hagan was born on June 12th, 1919 on a Tuesday.","[[[244121, None, None, None], [244126, None, None, None]]]",206462,NOT ENOUGH INFO,NOT VERIFIABLE
Camp Flog Gnaw is hosted by musicians.,"[[[149777, 164722, 'Camp_Flog_Gnaw', 0], [149777, 164722, 'Odd_Future', 0]]]",127808,SUPPORTS,VERIFIABLE
Parkinson's disease has afflicted people.,"[[[62662, 73321, ""Parkinson's_disease"", 27]], [[62662, 73322, ""Parkinson's_disease"", 28]], [[62662, 73323, ""Parkinson's_disease"", 30]], [[62662, 73324, ""Parkinson's_disease"", 34]]]",46310,SUPPORTS,VERIFIABLE
Live Nation Entertainment formed from the merger of Live Nation and Ticketmaster in 1999.,"[[[225318, 229995, 'Live_Nation_Entertainment', 0], [225318, 229995, 'Live_Nation_Entertainment', 8], [225318, 229995, 'Live_Nation_Entertainment', 9], [225318, 229995, 'Live_Nation_Entertainment', 10], [225318, 229995, 'Live_Nation_Entertainment', 11]]]",192587,REFUTES,VERIFIABLE
Jack Dylan Grazer is a child of two people.,"[[[171181, 184694, 'Jack_Dylan_Grazer', 0]], [[171185, 184697, 'Jack_Dylan_Grazer', 0]], [[171189, 184701, 'Jack_Dylan_Grazer', 0]]]",147627,SUPPORTS,VERIFIABLE
Ukrainian Soviet Socialist Republic was legally represented by Stalin.,"[[[188464, None, None, None]]]",163806,NOT ENOUGH INFO,NOT VERIFIABLE
James Brolin is not an actor.,"[[[77231, 88647, 'James_Brolin', 0]]]",60775,REFUTES,VERIFIABLE
Story of My Life wasn't recorded by One Direction.,"[[[232888, 235948, 'Story_of_My_Life_-LRB-One_Direction_song-RRB-', 0]]]",198084,REFUTES,VERIFIABLE
Vampires were a part of Asian folklore.,"[[[93543, None, None, None]]]",76671,NOT ENOUGH INFO,NOT VERIFIABLE
Samsung has developed and marketed semiconductors since 1983.,"[[[84968, None, None, None]]]",68341,NOT ENOUGH INFO,NOT VERIFIABLE
Pakistan is a federal parliamentary monarchy.,"[[[36371, 43947, 'Pakistan', 0]]]",20569,REFUTES,VERIFIABLE
Doxycycline may cause teeth to augment color.,"[[[115377, None, None, None], [308333, None, None, None], [309827, None, None, None], [309830, None, None, None], [309833, None, None, None]]]",37827,NOT ENOUGH INFO,NOT VERIFIABLE
"Super Bowl XLV was played on February 9, 2012.","[[[71597, 82577, 'Super_Bowl_XLV', 2]]]",55233,REFUTES,VERIFIABLE
"The Guthrie Theater's first building included a thrust stage with 1,441-seat.","[[[113829, 127695, 'Guthrie_Theater', 6]]]",96271,SUPPORTS,VERIFIABLE
Research is funded privately or federally.,"[[[198372, None, None, None]]]",171905,NOT ENOUGH INFO,NOT VERIFIABLE
The Brat Pack is a nickname given to a group of elderly actors.,"[[[196085, 206237, 'Brat_Pack_-LRB-actors-RRB-', 0]]]",169993,REFUTES,VERIFIABLE
Joseph Merrick was a man in the 19th century with perfect features.,"[[[51939, 61785, 'Joseph_Merrick', 0]]]",35754,REFUTES,VERIFIABLE
Laura Robson refuses to be in the International Tennis Federation.,"[[[51447, 61193, 'Laura_Robson', 3]]]",35271,REFUTES,VERIFIABLE
Maximum Overdrive was written solely by George R. R. Martin.,"[[[166577, 180392, 'Maximum_Overdrive', 0]]]",143417,REFUTES,VERIFIABLE
Kelly Bishop is the actress who portrays Lorelai Gilmore's mom.,"[[[143561, 158681, 'Lorelai_Gilmore', 3]]]",122207,SUPPORTS,VERIFIABLE
Therasia is in the volcanic island group of Visayas.,"[[[172293, 185651, 'Therasia', 0], [172293, 185651, 'Santorini', 0]]]",148642,REFUTES,VERIFIABLE
Nate Diaz signed a contract.,"[[[58642, 68946, 'Nate_Diaz', 3]]]",42350,SUPPORTS,VERIFIABLE
Uganda was ruled by the French.,"[[[83581, None, None, None]]]",67014,NOT ENOUGH INFO,NOT VERIFIABLE
The Alfred P. Murrah Federal Building was only an Australian federal government complex.,"[[[202253, None, None, None]]]",174899,NOT ENOUGH INFO,NOT VERIFIABLE
Akon has songs certified as gold.,"[[[239451, 241294, 'Akon', 9]]]",203058,SUPPORTS,VERIFIABLE
Pharmacology is a biomedical art.,"[[[142430, 157615, 'Pharmacology', 23]], [[142430, 157616, 'Pharmacology', 10]]]",119687,REFUTES,VERIFIABLE
Gamal Abdel Nasser's only funeral was in the capital of Iran.,"[[[88189, 100791, 'Gamal_Abdel_Nasser', 13], [88189, 100791, 'Cairo', 0]]]",71516,REFUTES,VERIFIABLE
American Library Association is anything except the largest of its kind.,"[[[224592, 229423, 'American_Library_Association', 1]], [[224593, 229424, 'American_Library_Association', 1]]]",192029,REFUTES,VERIFIABLE
Johnny Van Zant is incapable of being a musician.,"[[[161757, 176176, 'Johnny_Van_Zant', 0]], [[161757, 176177, 'Johnny_Van_Zant', 4], [161757, 176177, 'Van_Zant', 2]], [[161757, 176178, 'Johnny_Van_Zant', 1], [161757, 176178, 'Ronnie_Van_Zant', 1]], [[161757, 176179, 'Johnny_Van_Zant', 5], [161757, 176179, 'No_More_Dirty_Deals', 0]], [[161757, 176180, 'Johnny_Van_Zant', 6]], [[161757, 176181, 'Johnny_Van_Zant', 7]], [[161757, 176182, 'Johnny_Van_Zant', 10]], [[161757, 176183, 'Johnny_Van_Zant', 11]], [[161757, 176184, 'Johnny_Van_Zant', 12], [161757, 176184, 'Van_Zant', 0]]]",137384,REFUTES,VERIFIABLE
A staging area is a location where material are assembled after use.,"[[[225552, None, None, None]]]",192773,NOT ENOUGH INFO,NOT VERIFIABLE
FC Bayern Munich was founded in 2000.,"[[[265862, 263002, 'FC_Bayern_Munich', 4]]]",223202,REFUTES,VERIFIABLE
Floyd Mayweather Jr. is incapable of boxing.,"[[[27231, 33353, 'Floyd_Mayweather_Jr.', 0]], [[27231, 33354, 'Floyd_Mayweather_Jr.', 1]], [[27231, 33355, 'Floyd_Mayweather_Jr.', 3]], [[27231, 33356, 'Floyd_Mayweather_Jr.', 6]], [[27231, 33357, 'Floyd_Mayweather_Jr.', 8]], [[27231, 33358, 'Floyd_Mayweather_Jr.', 9]]]",12016,REFUTES,VERIFIABLE
Ukrainian Soviet Socialist Republic was in the EU.,"[[[296947, None, None, None], [298600, None, None, None], [300689, None, None, None], [344341, None, None, None], [344914, None, None, None]]]",163799,NOT ENOUGH INFO,NOT VERIFIABLE
Annie Lennox was named valedictorian in high school.,"[[[115991, None, None, None]]]",98346,NOT ENOUGH INFO,NOT VERIFIABLE
Cambridgeshire is outside England.,"[[[69360, 80138, 'Cambridgeshire', 1]], [[69365, 80143, 'Cambridgeshire', 1]], [[69365, 80144, 'Cambridgeshire', 7], [69365, 80144, 'Cambridgeshire_County_Council', 0]], [[69365, 80145, 'Cambridgeshire', 8], [69365, 80145, 'South_Cambridgeshire_District_Council', 0]]]",53076,REFUTES,VERIFIABLE
Sledgehammer was first performed live in 2014.,"[[[20797, 25488, 'Sledgehammer_-LRB-Fifth_Harmony_song-RRB-', 11]]]",4499,SUPPORTS,VERIFIABLE
Chris Benoit died in June 2007.,"[[[32829, 39908, 'Chris_Benoit', 0]], [[32829, 39909, 'Chris_Benoit', 14]]]",17333,SUPPORTS,VERIFIABLE
John Goodman has had roles.,"[[[110231, 123848, 'John_Goodman', 4]], [[110231, 123849, 'John_Goodman', 7]], [[110231, 123850, 'John_Goodman', 8]]]",92922,SUPPORTS,VERIFIABLE
The Maze Runner is a narrative in a visual medium.,"[[[45509, 54337, 'The_Maze_Runner_-LRB-film-RRB-', 0]], [[45509, 54338, 'The_Maze_Runner_-LRB-film-RRB-', 1]], [[45509, 54339, 'The_Maze_Runner_-LRB-film-RRB-', 11]], [[45509, 54340, 'The_Maze_Runner_-LRB-film-RRB-', 12]], [[45509, 54341, 'The_Maze_Runner_-LRB-film-RRB-', 13]], [[45509, 54342, 'The_Maze_Runner_-LRB-film-RRB-', 10], [45509, 54342, '20th_Century_Fox', 0]], [[45509, 54343, 'The_Maze_Runner_-LRB-film-RRB-', 6]]]",29365,SUPPORTS,VERIFIABLE
Two and a Half Men starred Angus T. Jones.,"[[[47269, 56391, 'Two_and_a_Half_Men', 1]]]",31131,SUPPORTS,VERIFIABLE
Yin and yang is not a Taoist concept.,"[[[276186, 271259, 'Yin_and_yang', 13]], [[278465, 273251, 'Yin_and_yang', 13]], [[326331, 313837, 'Yin_and_yang', 5]]]",98622,REFUTES,VERIFIABLE
Birmingham is in Suffolk County.,"[[[49704, 59138, 'Birmingham', 0]]]",33605,REFUTES,VERIFIABLE
Celebrity Rehab with Dr. Drew aired on VH1.,"[[[266989, 263802, 'Celebrity_Rehab_with_Dr._Drew', 0]]]",224114,SUPPORTS,VERIFIABLE
A polynomial consists of business models.,"[[[74132, None, None, None]]]",57800,NOT ENOUGH INFO,NOT VERIFIABLE
Bank of America has online and mobile banking platforms in Wisconsin.,"[[[92947, None, None, None]]]",76112,NOT ENOUGH INFO,NOT VERIFIABLE
Spider-Man 2 was written by Alvin Sargent in 2003.,"[[[31337, 38050, 'Spider-Man_2', 0]]]",15941,REFUTES,VERIFIABLE
Sean Gunn is best known for his role portraying Kirk Gleason.,"[[[210423, 218192, 'Sean_Gunn', 0]]]",181262,SUPPORTS,VERIFIABLE
Jonah Hill is an actor.,"[[[290605, 283599, 'Jonah_Hill', 0]], [[290605, 283600, 'Jonah_Hill', 1]], [[290605, 283601, 'Jonah_Hill', 4]], [[290605, 283602, 'Jonah_Hill', 5]], [[292019, 284860, 'Jonah_Hill', 0]], [[294014, 286401, 'Jonah_Hill', 0]], [[338882, 323939, 'Jonah_Hill', 0]], [[338882, 323940, 'Jonah_Hill', 1]], [[338882, 323941, 'Jonah_Hill', 4]], [[338883, 323942, 'Jonah_Hill', 0]], [[338883, 323943, 'Jonah_Hill', 1]], [[338883, 323944, 'Jonah_Hill', 4]], [[338883, 323945, 'Jonah_Hill', 5], [338883, 323945, '21_Jump_Street_-LRB-film-RRB-', 0]], [[338884, 323946, 'Jonah_Hill', 0]], [[338884, 323947, 'Jonah_Hill', 1]], [[338884, 323948, 'Jonah_Hill', 4]], [[338885, 323949, 'Jonah_Hill', 0]], [[338885, 323950, 'Jonah_Hill', 1]], [[338885, 323951, 'Jonah_Hill', 4]], [[338885, 323952, 'Jonah_Hill', 5]], [[338888, 323955, 'Jonah_Hill', 0]], [[338888, 323956, 'Jonah_Hill', 1]], [[338888, 323957, 'Jonah_Hill', 4]]]",143515,SUPPORTS,VERIFIABLE
Fargo (season 3) premiered in 2016.,"[[[81810, 93580, 'Fargo_-LRB-season_3-RRB-', 0]], [[81810, 93581, 'Fargo_-LRB-season_3-RRB-', 10]]]",65331,REFUTES,VERIFIABLE
Scandal refuses to play rock music.,"[[[171649, 185143, 'Scandal_-LRB-American_band-RRB-', 0]]]",148036,REFUTES,VERIFIABLE
William Cohen is from a state in the U.S.,"[[[220653, 226470, 'William_Cohen', 0]]]",188987,SUPPORTS,VERIFIABLE
"The expression to say while Trick-or-Treating is ""Trick or treat"".","[[[206294, 214680, 'Trick-or-treating', 1]]]",177978,SUPPORTS,VERIFIABLE
"Westworld's first season premiered on October 2, 2016.","[[[192313, 203073, 'Westworld_-LRB-TV_series-RRB-', 4]], [[192327, 203088, 'Westworld_-LRB-TV_series-RRB-', 4]]]",167161,SUPPORTS,VERIFIABLE
Telephone consists of an holiday.,"[[[272714, None, None, None]]]",228578,NOT ENOUGH INFO,NOT VERIFIABLE
Keith Stanfield's full name is Catholic.,"[[[70160, None, None, None]]]",53855,NOT ENOUGH INFO,NOT VERIFIABLE
Ann Biderman is an American television writer.,"[[[196214, 206363, 'Ann_Biderman', 0]], [[196215, 206364, 'Ann_Biderman', 0]]]",170104,SUPPORTS,VERIFIABLE
Becoming notable was done by Scream.,"[[[89301, 101997, 'Scream_-LRB-franchise-RRB-', 14]]]",72586,SUPPORTS,VERIFIABLE
Islamabad is home to Harvard University.,"[[[188061, None, None, None]]]",162828,NOT ENOUGH INFO,NOT VERIFIABLE
The Walking Dead (comic book) was a franchise inspiration.,"[[[138759, 153823, 'The_Walking_Dead_-LRB-comic_book-RRB-', 12]]]",118272,SUPPORTS,VERIFIABLE
Kenny Chesney is Canadian.,"[[[173249, 186514, 'Kenny_Chesney', 0]]]",149448,REFUTES,VERIFIABLE
Coins of the Swiss franc are used only outside of Liechtenstein.,"[[[227522, 231883, 'Coins_of_the_Swiss_franc', 0]]]",194260,REFUTES,VERIFIABLE
The ABC islands are part of the tropical Caribbean.,"[[[121834, 136135, 'ABC_islands_-LRB-Lesser_Antilles-RRB-', 0], [121834, 136135, 'Caribbean_Sea', 4]]]",103757,SUPPORTS,VERIFIABLE
Birmingham is a religion.,"[[[181318, 193576, 'Birmingham', 0]], [[181318, 193577, 'Birmingham', 1]], [[181318, 193578, 'Birmingham', 17]]]",157190,REFUTES,VERIFIABLE
Nymphomaniac (film) is part of a pentalogy.,"[[[43642, None, None, None]]]",27511,NOT ENOUGH INFO,NOT VERIFIABLE
The Washington Monument is between 560 ft and 575 ft tall.,"[[[104358, 117783, 'Washington_Monument', 1]]]",87187,SUPPORTS,VERIFIABLE
Therasia is the smallest island in the volcanic island group of Santorini.,"[[[159914, 174421, 'Therasia', 0], [159914, 174421, 'Therasia', 1], [159914, 174421, 'Therasia', 2]], [[159915, 174422, 'Therasia', 0], [159915, 174422, 'Therasia', 2]]]",137173,REFUTES,VERIFIABLE
France is where Emmanuel Macron worked in.,"[[[13064, None, None, None]]]",7964,NOT ENOUGH INFO,NOT VERIFIABLE
One True Thing is a comedy.,"[[[163345, None, None, None]]]",140385,NOT ENOUGH INFO,NOT VERIFIABLE
"Pink was born to an Amish family on September 8, 1979.","[[[182022, None, None, None]]]",157792,NOT ENOUGH INFO,NOT VERIFIABLE
Rehab was unqualified to win Best Contemporary Song.,"[[[264580, 262004, 'Rehab_-LRB-Amy_Winehouse_song-RRB-', 7]], [[264581, 262005, 'Rehab_-LRB-Amy_Winehouse_song-RRB-', 7]]]",222174,REFUTES,VERIFIABLE
The Premier League Asia Trophy was formerly called the World Cup.,"[[[109957, 123569, 'Premier_League_Asia_Trophy', 0]]]",92638,REFUTES,VERIFIABLE
Sierra Morena is bereft of culture and tradition.,"[[[39404, None, None, None]]]",23460,NOT ENOUGH INFO,NOT VERIFIABLE
The Winds of Winter is being written by George R. R. Martin with an estimated publication date of 2020.,"[[[132789, None, None, None], [132792, None, None, None]]]",113201,NOT ENOUGH INFO,NOT VERIFIABLE
Stomp the Yard is a horror film.,"[[[274741, None, None, None], [276865, None, None, None], [277617, None, None, None]]]",89256,NOT ENOUGH INFO,NOT VERIFIABLE
Ekta Kapoor produced television series.,"[[[103168, 116496, 'Ekta_Kapoor', 0]]]",86013,SUPPORTS,VERIFIABLE
Pocahontas received praise and commendation in a cultured manner.,"[[[116691, None, None, None]]]",99047,NOT ENOUGH INFO,NOT VERIFIABLE
Cthulhu is a being.,"[[[154892, None, None, None]]]",132474,NOT ENOUGH INFO,NOT VERIFIABLE
"No Strings Attached was released on January 21, 2011.","[[[184995, 196831, 'No_Strings_Attached_-LRB-film-RRB-', 2]]]",160525,SUPPORTS,VERIFIABLE
The SpongeBob SquarePants Movie was directed by a person.,"[[[170806, 184372, 'The_SpongeBob_SquarePants_Movie', 1], [170806, 184372, 'Stephen_Hillenburg', 0], [170806, 184372, 'The_SpongeBob_SquarePants_Movie', 0]]]",147255,SUPPORTS,VERIFIABLE
"Babur was born on February 24, 1483.","[[[29511, 35988, 'Babur', 0]], [[301103, 292231, 'Babur', 0]]]",97025,REFUTES,VERIFIABLE
An award won by Color of Night is one for the worst film.,"[[[111246, 124874, 'Color_of_Night', 8]], [[111254, 124880, 'Color_of_Night', 8]]]",93864,SUPPORTS,VERIFIABLE
John S. McCain Jr. was expelled in 1931.,"[[[101758, None, None, None]]]",84691,NOT ENOUGH INFO,NOT VERIFIABLE
Julie Bowen is American.,"[[[64772, 75609, 'Julie_Bowen', 0]]]",48411,SUPPORTS,VERIFIABLE
David Attenborough did not serve as the program director for BBC Television.,"[[[107694, 121182, 'David_Attenborough', 4]]]",90392,REFUTES,VERIFIABLE
Roberto Orci wrote a book.,"[[[17105, None, None, None], [17115, None, None, None]]]",1424,NOT ENOUGH INFO,NOT VERIFIABLE
General Motors only sells automotive components,"[[[41618, 50037, 'General_Motors', 12]]]",25642,REFUTES,VERIFIABLE
The English Wikipedia is an edition of a free online encyclopedia.,"[[[25206, 31087, 'English_Wikipedia', 0]]]",10261,SUPPORTS,VERIFIABLE
Sarah Hyland is Iraqi.,"[[[114570, None, None, None]]]",96991,NOT ENOUGH INFO,NOT VERIFIABLE
Meghan Markle is very selfish.,"[[[103334, None, None, None]]]",86172,NOT ENOUGH INFO,NOT VERIFIABLE
